country_code,n,number_213_n,number_not_213_n,result_1_n,result_not_1_n,number_missing_n,result_missing_n
ALB,377,377,0,377,0,0,0
ARG,509,509,0,509,0,0,0
AUS,3560,3560,0,3560,0,0,0
AUT,1076,1076,0,1076,0,0,0
BEL,2052,2052,0,2052,0,0,0
BGD,496,496,0,496,0,0,0
BGR,497,497,0,497,0,0,0
BOL,548,548,0,548,0,0,0
BRA,1336,1336,0,1336,0,0,0
BWA,508,508,0,508,0,0,0
CAN,2535,2535,0,2535,0,0,0
CHE,1018,1018,0,1018,0,0,0
CHL,1058,1058,0,1058,0,0,0
CHN,526,526,0,526,0,0,0
CIV,514,514,0,514,0,0,0
CMR,505,505,0,505,0,0,0
COD,408,408,0,408,0,0,0
COL,514,514,0,514,0,0,0
CRI,573,573,0,573,0,0,0
CYP,509,509,0,509,0,0,0
CZE,502,502,0,502,0,0,0
DEU,8134,8134,0,8134,0,0,0
DNK,1227,1227,0,1227,0,0,0
EGY,512,512,0,512,0,0,0
ESP,1015,1015,0,1015,0,0,0
ETH,455,455,0,455,0,0,0
FIN,1009,1009,0,1009,0,0,0
FRA,2029,2029,0,2029,0,0,0
GBR,2008,2008,0,2008,0,0,0
GEO,528,528,0,528,0,0,0
GHA,509,509,0,509,0,0,0
GRC,1449,1449,0,1449,0,0,0
HKG,599,599,0,599,0,0,0
HUN,508,508,0,508,0,0,0
IDN,2104,2104,0,1918,184,0,2
IND,502,502,0,502,0,0,0
IRL,506,506,0,506,0,0,0
ISR,1049,1049,0,1049,0,0,0
ITA,1520,1520,0,1520,0,0,0
JPN,1004,1004,0,1004,0,0,0
KAZ,520,520,0,520,0,0,0
KEN,513,513,0,513,0,0,0
KOR,500,500,0,500,0,0,0
MAR,503,503,0,503,0,0,0
MEX,532,532,0,532,0,0,0
MYS,1046,1046,0,1046,0,0,0
NGA,1040,1040,0,1040,0,0,0
NIC,499,499,0,499,0,0,0
NLD,1427,1427,0,1427,0,0,0
NOR,513,513,0,513,0,0,0
NZL,2028,2028,0,2028,0,0,0
PER,513,513,0,513,0,0,0
PHL,661,661,0,661,0,0,0
POL,3037,3037,0,3037,0,0,0
PRT,502,502,0,384,118,0,0
ROU,444,441,3,444,0,0,0
RUS,1518,1518,0,1518,0,0,0
SRB,575,575,0,575,0,0,0
SVK,543,543,0,543,0,0,0
SVN,528,528,0,528,0,0,0
SWE,1013,1013,0,1013,0,0,0
TUR,508,508,0,508,0,0,0
TWN,1206,1206,0,1206,0,0,0
UGA,513,513,0,513,0,0,0
UKR,1020,1020,0,1020,0,0,0
URY,325,324,1,325,0,0,0
USA,2580,2580,0,2580,0,0,0
ZAF,1027,1027,0,1027,0,0,0
