column,dtype_read_as,n,missing_or_special_n,missing_or_special_pct,numeric_parseable_n,unique_nonmissing_n
DEM_GENDER_2_TEXT,object,71922,71041,0.987751,16,766
BENEFIT_OPEN,object,71922,36656,0.509663,7,33198
TRUST_OPEN,object,71922,36484,0.507272,13,33898
DEM_POL_right,object,71922,16203,0.225286,55719,5
DEM_POL_conservative,object,71922,14858,0.206585,57064,5
DEM_INCOME_USD_log,object,71922,5254,0.073051,66668,26477
DEM_INCOME,object,71922,4377,0.060858,67545,3728
DEM_INCOME_USD,object,71922,4377,0.060858,67545,27151
CLIM_WEATHERFUTU_droughts,object,71922,3980,0.055338,67942,5
CLIM_WEATHERFUTU_wildfires,object,71922,3955,0.05499,67967,5
CLIM_WEATHERFUTU_heavyrain,object,71922,3951,0.054935,67971,5
CLIM_WEATHERFUTU_heavystorms,object,71922,3931,0.054656,67991,5
CLIM_WEATHERFUTU_heatwaves,object,71922,3928,0.054615,67994,5
CLIM_WEATHERFUTU_floods,object,71922,3893,0.054128,68029,5
WILLVUL_ppl,object,71922,2478,0.034454,69444,5
DEM_GENDER_male,object,71922,2198,0.030561,69724,2
CLIM_POLSUPPORT_foodtax,object,71922,1638,0.022775,70284,4
CLIM_POLSUPPORT_protection,object,71922,1625,0.022594,70297,4
CLIM_POLSUPPORT_sustenergy,object,71922,1621,0.022538,70301,4
CLIM_POLSUPPORT_publictransport,object,71922,1619,0.02251,70303,4
CLIM_POLSUPPORT_fueltax,object,71922,1607,0.022344,70315,4
WILLVUL_you,object,71922,1472,0.020467,70450,5
WILLVUL_gov,object,71922,1468,0.020411,70454,5
DEM_GENDER,object,71922,1311,0.018228,70611,3
CLIM_EMO_ashamed,object,71922,1244,0.017297,70678,5
CLIM_EMO_indifferent,object,71922,1228,0.017074,70694,5
SDO_notpushequality,object,71922,1214,0.016879,70708,10
SDO_superiordominate,object,71922,1199,0.016671,70723,10
SDO_allgroupsconsider,object,71922,1197,0.016643,70725,10
SDO_equalityideal,object,71922,1197,0.016643,70725,10
NORMPERC_independent,object,71922,1144,0.015906,70778,5
SCIINFO_newswebsitesapps,object,71922,837,0.011638,71085,7
NORMPERC_communicate,object,71922,603,0.008384,71319,5
SCIINFO_books,object,71922,571,0.007939,71351,7
CLIM_EMO_anxious,object,71922,537,0.007466,71385,5
SCIINFO_museumszoos,object,71922,511,0.007105,71411,7
SCIINFO_messengers,object,71922,497,0.00691,71425,7
CLIM_WEATHERPAST_droughts,object,71922,485,0.006743,71437,5
CLIM_WEATHERPAST_wildfires,object,71922,475,0.006604,71447,5
CLIM_WEATHERPAST_heavystorms,object,71922,463,0.006438,71459,5
CLIM_WEATHERPAST_heatwaves,object,71922,462,0.006424,71460,5
CLIM_WEATHERPAST_heavyrain,object,71922,460,0.006396,71462,5
SCIINFO_filmsseries,object,71922,459,0.006382,71463,7
SCIINFO_rlconversations,object,71922,457,0.006354,71465,7
SCIINFO_videospodcasts,object,71922,444,0.006173,71478,7
CLIM_WEATHERPAST_floods,object,71922,434,0.006034,71488,5
SCIINFO_socialmedia,object,71922,377,0.005242,71545,7
BENEFIT_REGION_LEAST,object,71922,341,0.004741,71581,6
SCIINFO_tvradio,object,71922,285,0.003963,71637,7
DEM_RELIGIOUS,object,71922,258,0.003587,71664,5
DEM_AGE,object,71922,208,0.002892,71714,77
DEM_AGEGRP,object,71922,208,0.002892,0,5
DEM_AGEGRP_collbot2,object,71922,208,0.002892,0,4
DEM_AGEGRP_colltop2,object,71922,208,0.002892,0,4
DEM_AGEGRP_colltop3,object,71922,208,0.002892,0,3
BENEFIT_REGION_MOST,object,71922,193,0.002683,71729,6
CLIM_EMO_depressed,object,71922,186,0.002586,71736,5
