country_code,n
ALB,377
ARG,509
AUS,3560
AUT,1076
BEL,2052
BGD,496
BGR,497
BOL,548
BRA,1336
BWA,508
CAN,2535
CHE,1018
CHL,1058
CHN,526
CIV,514
CMR,505
COD,408
COL,514
CRI,573
CYP,509
CZE,502
DEU,8134
DNK,1227
EGY,512
ESP,1015
ETH,455
FIN,1009
FRA,2029
GBR,2008
GEO,528
GHA,509
GRC,1449
HKG,599
HUN,508
IDN,2104
IND,502
IRL,506
ISR,1049
ITA,1520
JPN,1004
KAZ,520
KEN,513
KOR,500
MAR,503
MEX,532
MYS,1046
NGA,1040
NIC,499
NLD,1427
NOR,513
NZL,2028
PER,513
PHL,661
POL,3037
PRT,502
ROU,444
RUS,1518
SRB,575
SVK,543
SVN,528
SWE,1013
TUR,508
TWN,1206
UGA,513
UKR,1020
URY,325
USA,2580
ZAF,1027
