COUNTRY_CODE,n,attention_flag_n,attention_number_fail_n,attention_response_anomaly_n,range_issue_n,md_flag_n,odd_even_flag_n,longstring_flag_n,mechanical_flag_n,high_priority_n,country_n,eligible_n,items_used,dropped_constant_item_n,computable,reason,threshold_p995,p99,p9975,flagged_n
ALB,377,0,0,0,0,2,39,212,233,20,377,377,27,0,True,,9.249833171958771,8.992216498964293,9.401245488962893,2
ARG,509,0,0,0,0,3,82,405,433,57,509,509,27,0,True,,8.811453060571404,8.296386356129483,9.12166762125582,3
AUS,3560,0,0,0,0,18,566,1959,2408,134,3560,3560,27,0,True,,9.483551095993667,8.861270486880848,10.247335894704666,18
AUT,1076,0,0,0,0,6,84,740,766,63,1076,1076,27,0,True,,9.032247129681274,8.709135438749495,9.052335489752638,6
BEL,2052,0,0,0,0,11,144,1506,1559,102,2052,2048,27,0,True,,9.945927175771079,8.974525690871896,10.298833110257902,11
BGD,496,0,0,0,0,3,62,325,359,31,496,495,27,0,True,,9.1005245862644,8.691838645864747,9.293329588107692,3
BGR,497,0,0,0,0,3,44,357,377,27,497,497,27,0,True,,9.46199335745871,8.894938520781247,9.892608359103395,3
BOL,548,0,0,0,0,3,63,435,451,49,548,547,27,0,True,,8.999129882764393,8.505002113561822,9.43462383174427,3
BRA,1336,0,0,0,0,7,112,979,1032,66,1336,1334,27,0,True,,10.024197995878309,9.452261870323822,10.571399218007814,7
BWA,508,0,0,0,0,3,47,350,378,22,508,508,27,0,True,,8.794405291880082,8.45979352077661,8.980266885213203,3
CAN,2535,0,0,0,0,13,279,1991,2085,196,2535,2535,27,0,True,,9.717127756453463,9.114717109380448,10.140577604848449,13
CHE,1018,0,0,0,0,6,92,713,756,55,1018,1017,27,0,True,,9.189234341179828,8.420015330510793,9.928503448611174,6
CHL,1058,0,0,0,0,6,117,818,858,82,1058,1058,27,0,True,,9.765730299928066,9.108156319442989,10.063669164922315,6
CHN,526,0,0,0,0,3,51,218,256,16,526,526,27,0,True,,9.414837217098949,9.06447806945572,9.99784313280179,3
CIV,514,0,0,0,0,3,63,305,340,30,514,513,27,0,True,,8.910279619726296,8.511649012987318,9.312981902300164,3
CMR,505,0,0,0,0,3,76,275,315,39,505,505,27,0,True,,9.836699480444134,9.003960090110741,10.624764954345261,3
COD,408,0,0,0,0,3,63,241,270,36,408,408,27,0,True,,8.54160889198118,8.128110835674924,8.605262671958391,3
COL,514,0,0,0,0,3,50,437,452,38,514,513,27,0,True,,9.305628515146523,8.79488520493761,9.971517439395324,3
CRI,573,0,0,0,0,3,63,462,473,54,573,573,27,0,True,,8.746358665275679,8.653747081104108,8.863074573622079,3
CYP,509,0,0,0,0,3,55,369,388,39,509,508,27,0,True,,9.629187430292237,9.212287694571774,9.754597872490445,3
CZE,502,0,0,0,0,3,69,295,334,33,502,502,27,0,True,,9.551670408646242,9.159568789881424,10.07081313193997,3
DEU,8134,0,0,0,0,41,720,5953,6275,436,8134,8128,27,0,True,,9.634355845007446,8.902886277508312,10.235871113529038,41
DNK,1227,0,0,0,0,7,103,840,887,62,1227,1226,27,0,True,,9.60798209825609,9.288394732037618,10.192804894910383,7
