COUNTRY_CODE,COUNTRY_NAME,final_decision,n,total,pct
ALB,Albania,invalid,1,377,0.27
ALB,Albania,normal,374,377,99.2
ALB,Albania,valid1,2,377,0.53
ARG,Argentina,invalid,3,509,0.59
ARG,Argentina,normal,502,509,98.62
ARG,Argentina,valid1,4,509,0.79
AUS,Australia,invalid,73,3560,2.05
AUS,Australia,normal,3408,3560,95.73
AUS,Australia,valid1,77,3560,2.16
AUS,Australia,valid2,2,3560,0.06
AUT,Austria,invalid,6,1076,0.56
AUT,Austria,normal,1058,1076,98.33
AUT,Austria,valid1,12,1076,1.12
BEL,Belgium,invalid,8,2052,0.39
BEL,Belgium,normal,2027,2052,98.78
BEL,Belgium,valid1,17,2052,0.83
BGD,Bangladesh,normal,492,496,99.19
BGD,Bangladesh,valid1,4,496,0.81
BGR,Bulgaria,invalid,1,497,0.2
BGR,Bulgaria,normal,496,497,99.8
BOL,Bolivia,invalid,1,548,0.18
BOL,Bolivia,normal,542,548,98.91
BOL,Bolivia,valid1,5,548,0.91
BRA,Brazil,invalid,3,1336,0.22
BRA,Brazil,normal,1319,1336,98.73
BRA,Brazil,valid1,14,1336,1.05
BWA,Botswana,normal,505,508,99.41
BWA,Botswana,valid1,3,508,0.59
CAN,Canada,invalid,19,2535,0.75
CAN,Canada,normal,2480,2535,97.83
CAN,Canada,valid1,36,2535,1.42
CHE,Switzerland,invalid,5,1018,0.49
CHE,Switzerland,normal,1005,1018,98.72
CHE,Switzerland,valid1,8,1018,0.79
CHL,Chile,invalid,1,1058,0.09
CHL,Chile,normal,1045,1058,98.77
CHL,Chile,valid1,12,1058,1.13
CHN,China,invalid,1,526,0.19
CHN,China,normal,525,526,99.81
CIV,Côte d'Ivoire,invalid,1,514,0.19
CIV,Côte d'Ivoire,normal,509,514,99.03
CIV,Côte d'Ivoire,valid1,4,514,0.78
CMR,Cameroon,invalid,2,505,0.4
CMR,Cameroon,normal,500,505,99.01
CMR,Cameroon,valid1,3,505,0.59
COD,Congo DR,normal,403,408,98.77
COD,Congo DR,valid1,5,408,1.23
COL,Colombia,invalid,2,514,0.39
COL,Colombia,normal,505,514,98.25
COL,Colombia,valid1,7,514,1.36
CRI,Costa Rica,invalid,1,573,0.17
CRI,Costa Rica,normal,565,573,98.6
