COUNTRY_CODE,n,signal_attention_n,signal_longstring_n,signal_mahalanobis_n,signal_odd_even_n,normal_n,medium_n,high_n,veto_n,verify_n
ALB,377,0,2,2,0,373,4,0,27,0
ARG,509,0,2,3,2,502,7,0,10,0
AUS,3560,0,41,18,99,3403,156,1,86,0
AUT,1076,0,6,6,7,1057,19,0,43,0
BEL,2052,0,18,11,6,2017,35,0,141,0
BGD,496,0,2,3,5,487,8,1,288,0
BGR,497,0,5,3,0,489,8,0,471,0
BOL,548,0,0,3,3,542,6,0,3,0
BRA,1336,0,3,7,8,1318,18,0,23,0
BWA,508,0,0,3,0,505,3,0,2,0
CAN,2535,0,31,13,16,2475,60,0,64,0
CHE,1018,0,6,6,3,1003,15,0,41,0
CHL,1058,0,1,6,7,1044,14,0,6,0
CHN,526,0,3,3,8,512,14,0,465,0
CIV,514,0,0,3,2,509,5,0,8,0
CMR,505,0,1,3,1,500,5,0,2,0
COD,408,0,0,3,2,403,5,0,8,0
COL,514,0,4,3,2,505,9,0,4,0
CRI,573,0,0,3,5,565,8,0,4,0
CYP,509,0,4,3,3,499,10,0,491,0
CZE,502,0,5,3,0,494,8,0,36,0
DEU,8134,0,92,41,73,7930,202,2,377,0
DNK,1227,0,3,7,6,1211,16,0,111,0
EGY,512,0,6,3,9,494,18,0,492,0
ESP,1015,0,22,6,6,981,34,0,33,0
ETH,455,0,1,3,0,451,4,0,9,0
FIN,1009,0,5,6,4,994,15,0,112,0
FRA,2029,0,21,11,12,1986,42,1,143,0
GBR,2008,0,18,11,14,1966,41,1,49,0
GEO,528,0,14,3,4,507,21,0,339,0
GHA,509,0,1,3,3,502,7,0,3,0
GRC,1449,0,14,8,14,1413,36,0,1402,0
HKG,599,0,6,3,4,586,13,0,403,0
HUN,508,0,7,3,4,494,14,0,18,0
IDN,2104,0,52,11,20,1863,83,0,92,184
IND,502,0,19,3,4,477,24,1,11,0
IRL,506,0,5,3,3,495,11,0,23,0
ISR,1049,0,5,6,5,1033,16,0,1037,0
ITA,1520,0,5,8,12,1496,23,1,104,0
JPN,1004,0,26,6,2,970,34,0,938,0
KAZ,520,0,1,3,4,512,8,0,511,0
KEN,513,0,0,3,1,509,4,0,5,0
KOR,500,0,5,3,2,490,10,0,457,0
MAR,503,0,2,3,1,497,6,0,422,0
MEX,532,0,1,3,0,528,4,0,1,0
MYS,1046,0,0,6,11,1029,17,0,60,0
NGA,1040,0,2,6,7,1025,15,0,13,0
NIC,499,0,1,3,1,494,5,0,1,0
NLD,1427,0,14,8,9,1396,31,0,129,0
NOR,513,0,6,3,1,503,10,0,52,0
NZL,2028,0,14,11,50,1953,75,0,66,0
PER,513,0,2,3,3,505,8,0,4,0
PHL,661,0,8,4,4,645,16,0,7,0
POL,3037,0,47,16,16,2958,79,0,183,0
PRT,502,0,15,3,1,382,19,0,83,118
ROU,444,3,0,3,0,438,6,0,10,0
RUS,1518,0,11,8,9,1490,28,0,1503,0
SRB,575,0,4,3,2,566,9,0,30,0
SVK,543,0,6,3,3,531,12,0,33,0
SVN,528,0,7,3,4,515,12,1,50,0
SWE,1013,0,9,6,9,989,24,0,97,0
TUR,508,0,15,3,1,489,19,0,25,0
TWN,1206,0,8,7,7,1184,22,0,1004,0
UGA,513,0,0,3,3,507,6,0,2,0
UKR,1020,0,1,6,8,1005,15,0,997,0
URY,325,1,0,2,0,322,3,0,4,0
USA,2580,0,117,13,38,2412,168,0,139,0
ZAF,1027,0,4,6,6,1011,16,0,9,0
