row_id,COUNTRY_CODE,COUNTRY_NAME,final_decision,invalid_source,both_len,screening_tier,trigger_reason,signal_count,signal_attention,signal_longstring,signal_mahalanobis,signal_odd_even,ls_max_run,md_score,oe_r,BENEFIT_OPEN,TRUST_OPEN,BENEFIT_OPEN_ZH,ATTCHECK_NUMBER,ATTCHECK_RES,DEM_AGE,DEM_GENDER,DEM_EDU,DEM_AGEGRP
186,ALB,Albania,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,22.0,5.992739800567523,,-99,NA,,213,1,20,1,3,18-29
1191,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,18.0,2.941645563946501,,NA,-99,,213,1,46,1,4,40-49
1198,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,18.0,3.4241836322784605,,NA,-99,,213,1,31,1,4,30-39
1294,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,17.0,3.393934609336499,,-99,NA,,213,1,33,1,4,30-39
2295,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,18.0,7.004894354762754,,NA,NONE,,213,1,61,0,3,60+
2456,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,19.0,5.037512250521892,-0.6859943405700353,NA,-99,,213,1,25,1,3,18-29
2458,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,17.0,5.3615060216703565,0.6565321642986127,-99,NA,,213,1,25,1,3,18-29
2486,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,19.0,3.5982496514369195,,-99,NA,,213,1,49,1,4,40-49
2487,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,28.0,4.351367873228035,-0.4472135954999579,NA,-99,,213,1,34,1,4,30-39
2488,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,28.0,3.8574856178621264,-0.2,-99,NA,,213,1,39,1,4,30-39
2489,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,28.0,3.9446197440266193,0.4472135954999579,NA,-99,,213,1,34,1,4,30-39
2490,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,28.0,4.838908850875913,0.9258200997725514,-99,NA,,213,1,31,1,4,30-39
2492,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,28.0,2.8425851379032654,,-99,NA,,213,1,28,1,4,18-29
2493,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,28.0,3.007474036088014,,NA,-99,,213,1,36,1,4,30-39
2494,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,31.0,6.582410565204953,1.0,-99,NA,,213,1,38,1,4,30-39
2584,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,28.0,3.3449897954774346,,-99,NA,,213,1,39,1,4,30-39
2602,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,18.0,2.876797758010994,,-99,NA,,213,1,35,1,4,30-39
2603,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,18.0,3.093631011010666,,NA,-99,,213,1,33,1,4,30-39
2604,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,19.0,3.1066442608045057,,NA,-99,,213,1,31,1,4,30-39
2609,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,17.0,3.5408186826924943,,-99,NA,,213,1,34,1,4,30-39
2612,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,18.0,3.0635735273281997,,NA,-99,,213,1,47,1,4,40-49
2698,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,28.0,3.8488848196700145,-0.4472135954999579,NA,-99,,213,1,36,1,4,30-39
2708,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,28.0,3.0808698348517463,,NA,-99,,213,1,42,1,4,40-49
2772,AUS,Australia,invalid,rule_A+B,2,NORMAL,,0,0,0,0,0,19.0,8.537560569085889,0.6984302957695782,NA,no,,213,1,19,1,4,18-29
4204,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,28.0,4.716364071064695,0.6324555320336759,-99,NA,,213,1,19,1,4,18-29
4205,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,31.0,4.5333869803813,-0.4472135954999579,NA,-99,,213,1,18,1,4,18-29
4207,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,28.0,4.2766561009174415,-0.7071067811865476,NA,-99,,213,1,19,1,4,18-29
4391,AUS,Australia,invalid,rule_A+B,0,NORMAL,,0,0,0,0,0,20.0,3.4422609846964303,,NA,-99,,213,1,27,1,4,18-29
4865,BGD,Bangladesh,invalid,rule_A+B,3,NORMAL,,0,0,0,0,0,19.0,5.272139608430464,,NA,Bal,,213,1,51,0,4,50-59
