ID,优先级,第一编码员,第二编码员,决策1,决策2,A一致,B一致,C一致,决策一致
16,常规,"(2, 0, 1)","(2, 0, 1)",剔除,剔除,True,True,True,
191,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
765,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
1417,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
1506,高,"(2, 0, 2)","(2, 0, 2)",剔除,剔除,True,True,True,
1529,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
1626,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
2080,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
2240,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
2368,常规,"(2, 0, 1)","(2, 0, 1)",剔除,剔除,True,True,True,
2409,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
2491,常规,"(2, 1, 0)","(2, 1, 0)",剔除,剔除,True,True,True,
2534,常规,"(2, 2, 0)","(2, 2, 0)",剔除,剔除,True,True,True,
3234,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
3412,常规,"(2, 2, 1)","(2, 2, 1)",剔除,剔除,True,True,True,
3651,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
4097,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
4111,高,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
4123,高,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
4310,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
4691,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
4937,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
4982,常规,"(2, 0, 1)","(2, 0, 1)",剔除,剔除,True,True,True,
5089,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
5326,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
5358,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
5455,常规,"(2, 2, 0)","(2, 2, 0)",剔除,剔除,True,True,True,
5973,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
6006,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
6023,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
6163,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
6222,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
6419,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
6628,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
6652,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
6791,常规,"(2, 0, 1)","(2, 0, 1)",剔除,剔除,True,True,True,
6967,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
7022,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
7061,常规,"(2, 0, 1)","(2, 0, 1)",剔除,剔除,True,True,True,
7066,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
7300,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
7468,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
7527,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
7639,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
8331,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
8835,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
8952,高,"(2, 1, 2)","(2, 1, 2)",剔除,剔除,True,True,True,
9013,高,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
9048,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
9227,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
9324,常规,"(2, 1, 0)","(2, 1, 0)",剔除,剔除,True,True,True,
9506,常规,"(2, 1, 0)","(2, 1, 0)",剔除,剔除,True,True,True,
10664,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
10912,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
11184,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
11327,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
11366,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
11941,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
11943,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
12310,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
12324,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
12354,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
12383,高,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
12413,高,"(1, 0, 2)","(1, 0, 2)",剔除,剔除,True,True,True,
12522,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
12614,高,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
12635,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
12737,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
12749,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
12917,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
12925,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
13151,常规,"(2, 1, 0)","(2, 1, 0)",剔除,剔除,True,True,True,
13429,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
13490,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
13555,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
13765,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
14126,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
14240,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
14536,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
14586,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
15337,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
15515,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
15639,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
15926,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
16403,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
16705,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
17007,常规,"(2, 0, 1)","(2, 0, 1)",剔除,剔除,True,True,True,
17233,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
17325,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
17863,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
18511,高,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
18773,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
18859,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
18873,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
19007,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
19012,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
19146,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
19194,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
19305,常规,"(2, 2, 0)","(2, 2, 0)",剔除,剔除,True,True,True,
19447,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
20354,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
20427,常规,"(2, 2, 0)","(2, 2, 0)",剔除,剔除,True,True,True,
20520,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
20945,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
21069,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
21357,常规,"(2, 2, 0)","(2, 2, 0)",剔除,剔除,True,True,True,
21811,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
21851,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
24229,常规,"(2, 2, 1)","(2, 2, 1)",剔除,剔除,True,True,True,
25752,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
26397,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
26900,常规,"(1, 0, 0)","(1, 0, 0)",保留,保留,True,True,True,
27898,常规,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,
28882,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
33086,高,"(2, 0, 0)","(2, 0, 0)",剔除,剔除,True,True,True,True
33411,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
34614,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
42547,高,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
44123,常规,"(0, 0, 0)","(0, 0, 0)",保留,保留,True,True,True,
