ID,MODE,CODINT,优先级,CI,flag_dur_low,flag_dur_high,flag_md,flag_long,flag_dkna,DUR,DUR_z,访问员标记率,标记率超均值倍数,MD_d2,LS_run,DKNA_count,P11A_标签,P11A_翻转,P11B_标签,P11B_翻转,P11C_标签,P11C_翻转,P11D_标签,P11D_翻转,P11E_标签,P11E_翻转,P22,P23,P25,P07Ctx,P10tx,P12Btx,P16Btx,P07Ctx_有效,P10tx_有效,P12Btx_有效,P16Btx_有效,开放题有效计数,维度A分,维度B分,维度C分,总分,决策,备注
522,CATI,Alejandro,高,2,1,0,0,0,1,7.2,-1.1359812810757408,0.3630952380952381,1.3241936132561132,,2,4,Agree,2.0,Agree,4.0,Agree,4.0,DK,,DK,,Woman,,, ,0, , ,0,0,0,0,0,2.0,0.0,2.0,4.0,剔除,开放题全空/编码值，DUR快答+DKNA叠加无自证
963,CATI,Victoria,高,2,0,0,1,1,0,17.8,1.3622337092073051,0.2201834862385321,0.8030002479543764,12.219831577898812,9,0,Agree,2.0,Strongly disagree,1.0,Agree,4.0,Strongly disagree,1.0,Disagree,2.0,Woman,45.0,"EGB, ESO, Baccalaurate, Elementary Baccalaurate","NOTICIAS TV, GENTE HABLANDO ELECCIONES",DESIGUALDAD SALARIAL, , ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,开放题自证充分（媒体+议题），态度多样，LS自证成立
1041,CATI,Eva,高,2,0,0,1,1,0,10.2,-0.1746198325286013,0.25,0.9117398648648648,12.961464483513367,6,1,Strongly disagree,5.0,Strongly disagree,1.0,Agree,4.0,Neither agree nor disagree,3.0,Neither agree nor disagree,3.0,Man,36.0,"COU, BUP, Higher Baccalaurate","COMITE DE EMPRESSA, , , 9",RESPETO,2, ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,开放题自证（媒体+议题），态度多样
1249,CATI,Luna,高,2,0,1,0,1,0,32.5,3.02392906271581,0.2325581395348837,0.8481301068510371,7.158961867586321,6,1,Strongly agree,1.0,Strongly agree,5.0,Strongly agree,5.0,Disagree,2.0,Disagree,2.0,Man,53.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)",TV,LABORAL, ,9,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,32.5min 真实长访谈，开放题自证，DUR长侧复核通过
1451,CATI,Luna,高,2,0,0,1,1,0,11.9,0.2508515215738882,0.2325581395348837,0.8481301068510371,15.53977887663033,6,0,Disagree,4.0,Agree,4.0,Strongly agree,5.0,Disagree,2.0,Strongly agree,5.0,Woman,36.0,"FP2, Higher Vocational Training, Conservatoire 10 years",TELEDIARIO,"MALTRATO, IGUALDAD", , ,1,1,0,0,2,0.0,0.0,0.0,0.0,保留,开放题自证（媒体+议题），态度多样
1474,CATI,David,高,2,0,0,1,1,0,9.5,-0.3708517148909659,0.3942857142857143,1.4379440154440155,11.96375997510468,8,1,Disagree,4.0,Strongly agree,5.0,Disagree,2.0,Strongly agree,5.0,Strongly agree,5.0,Man,44.0,"FP2, Higher Vocational Training, Conservatoire 10 years",3,0, , ,0,0,0,0,0,2.0,0.0,0.0,2.0,剔除,P07=3 P10=0 纯编码，LS=8连击，A=2门槛触发
1506,CATI,María,高,2,1,0,0,0,1,7.2,-1.1359812810757408,0.2685714285714285,0.979469111969112,1.089973009786805,2,4,Neither agree nor disagree,3.0,Agree,4.0,Agree,4.0,Neither agree nor disagree,3.0,Disagree,2.0,Man,44.0,"FP2, Higher Vocational Training, Conservatoire 10 years", ,0, , ,0,0,0,0,0,2.0,0.0,2.0,4.0,剔除,开放题全空，DUR快答+DKNA
1973,CATI,Daniel,高,2,1,0,0,0,1,7.2,-1.1359812810757408,0.293859649122807,1.0716942271218588,,5,6,Agree,2.0,DK,,Agree,4.0,Disagree,2.0,Disagree,2.0,Woman,30.0,"University graduate (Diploma, Bachelor, Degree, Master, PhD)", ,0, , ,0,0,0,0,0,2.0,0.0,2.0,4.0,剔除,开放题全空，DUR快答+DKNA
2177,CATI,Daniel,高,2,1,0,0,1,0,8.1,-0.8108882764442957,0.293859649122807,1.0716942271218588,,7,2,,,Agree,4.0,Agree,4.0,Agree,4.0,Agree,4.0,Man,67.0,Primary school (or has attended school for 5 years or more),"1, 9",99, , ,0,0,0,0,0,2.0,1.0,0.0,3.0,剔除,"P07=1,9 P10=99，全4连击无自证"
3647,CATI,Juana,高,2,0,0,0,1,1,12.6,0.408614482866602,0.1666666666666666,0.6078265765765766,3.290817454810447,6,4,Agree,2.0,Agree,4.0,Agree,4.0,Agree,4.0,Disagree,2.0,Woman,52.0,"COU, BUP, Higher Baccalaurate","COLEGIO BOCA BOCA, , , 1, 9",99, , ,1,0,0,0,1,1.0,0.0,0.0,1.0,保留,P07=具体电台名自证
